Time[s], Channel 7
17.011896, 1
17.011902, 0
17.011928, 1
17.01193, 0
17.084334, 1
17.125196, 0
17.125198, 1
17.125202, 0
17.125208, 1
17.12521, 0
17.12523, 1
17.125236, 0
17.203278, 1
17.24956, 0
17.249562, 1
17.249564, 0
17.249572, 1
17.249574, 0
17.249586, 1
17.249588, 0
17.249594, 1
17.2496, 0
17.249626, 1
17.249628, 0
17.330558, 1
17.376304, 0
17.376306, 1
17.376308, 0
17.376314, 1
17.376318, 0
17.376338, 1
17.376342, 0
17.376368, 1
17.376372, 0
17.463954, 1
17.515914, 0
17.515916, 1
17.51592, 0
17.515926, 1
17.515928, 0
17.51594, 1
17.515942, 0
17.515948, 1
17.515954, 0
17.51598, 1
17.515982, 0
17.606916, 1
17.65834, 0
17.658342, 1
17.658344, 0
17.65835, 1
17.658354, 0
17.658372, 1
17.658378, 0
17.658404, 1
17.658406, 0
17.757358, 1
17.815844, 0
17.815846, 1
17.815848, 0
17.815854, 1
17.815858, 0
17.815878, 1
17.815882, 0
17.918112, 1
17.97592, 0
17.975922, 1
17.975924, 0
17.975932, 1
17.975934, 0
17.975946, 1
17.975948, 0
17.975956, 1
17.975958, 0
18.087494, 1
18.153296, 0
18.153306, 1
18.15331, 0
18.153328, 1
18.153336, 0
18.15336, 1
18.153362, 0
18.267858, 1
18.3329, 0
18.33291, 1
18.332914, 0
18.332932, 1
18.332938, 0
18.449756, 1
18.51339, 0
18.513392, 1
18.513394, 0
18.5134, 1
18.513404, 0
18.513416, 1
18.513418, 0
18.513422, 1
18.51343, 0
18.513456, 1
18.513458, 0
18.613558, 1
18.664498, 0
18.6645, 1
18.664502, 0
18.664508, 1
18.664512, 0
18.66453, 1
18.664536, 0
18.664562, 1
18.664564, 0
18.755526, 1
18.806436, 0
18.806438, 1
18.80644, 0
18.806446, 1
18.80645, 0
18.806462, 1
18.806464, 0
18.806468, 1
18.806476, 0
18.8065, 1
18.806504, 0
18.889026, 1
18.932886, 0
18.932888, 1
18.93289, 0
18.932896, 1
18.9329, 0
18.93292, 1
18.932924, 0
19.013338, 1
19.059254, 0
19.059256, 1
